index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
0,0x8d200,397,399,400,5,256,516,416,416,347,374,331,5,243,449,466,511
1,0x8d220,417,1028,1088,2306,5,4,117,118,368,1112,926,3191,5,4,139,114
2,0x8d240,150,182,213,214,105,104,85,86,159,243,236,189,140,97,78,93
3,0x8d260,118,150,181,182,213,214,53,54,136,184,165,140,177,252,43,51
4,0x8d280,86,118,149,150,181,182,196,197,78,163,123,184,249,243,169,217
5,0x8d2a0,229,261,292,293,324,325,257,1028,235,364,400,278,415,269,261,1115
6,0x8d2c0,514,0,0,0,0,0,292,293,669,0,0,0,0,0,285,300
7,0x8d2e0,325,1028,8270,2306,5,4,117,118,367,1410,10062,3128,6,4,107,155
8,0x8d300,150,182,213,214,105,104,85,86,206,250,279,205,107,102,64,86
9,0x8d320,118,150,181,182,213,214,53,54,131,118,237,219,250,268,41,61
10,0x8d340,86,118,149,150,181,182,196,197,71,100,192,131,235,167,261,235
11,0x8d360,229,261,292,293,324,325,257,1028,211,315,393,404,348,283,290,1398
12,0x8d380,514,0,0,0,0,0,292,293,485,0,0,0,0,0,406,363
13,0x8d3a0,325,256,516,5712,513,416,449,256,361,294,618,5698,486,571,551,341
14,0x8d3c0,4686,5,4,21,22,53,150,181,5326,5,4,18,29,48,174,139
15,0x8d3e0,213,105,104,5,4,21,118,149,169,142,143,5,5,29,157,125
16,0x8d400,181,213,214,105,104,5,86,117,183,244,241,106,133,4,115,118
17,0x8d420,149,181,182,213,214,105,229,260,162,223,153,270,217,83,189,209
18,0x8d440,292,324,325,356,357,388,514,0,229,378,385,440,441,456,523,0
20,0x8d480,516,258,416,416,384,385,3668,1028,482,235,500,400,392,359,4037,959
21,0x8d4a0,142,144,173,174,175,176,239,240,166,133,188,205,240,178,218,189
22,0x8d4c0,142,144,173,174,175,176,239,240,171,126,202,191,165,177,314,326
23,0x8d4e0,142,144,173,174,175,176,239,240,109,187,153,222,164,135,269,247
24,0x8d500,302,304,333,334,335,336,399,400,391,338,416,338,391,343,388,458
25,0x8d520,256,8263,258,416,416,384,1028,3640,329,8800,331,520,379,399,1180,3615
26,0x8d540,141,143,144,173,174,175,238,239,112,127,139,178,156,144,207,221
