index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
0,0x8d200,397,399,400,5,256,516,416,416,463,306,372,4,315,614,553,336
1,0x8d220,417,1028,1088,2306,5,4,117,118,427,791,971,2487,4,4,137,130
2,0x8d240,150,182,213,214,105,104,85,86,134,206,272,161,134,125,83,73
3,0x8d260,118,150,181,182,213,214,53,54,162,145,147,148,277,244,68,66
4,0x8d280,86,118,149,150,181,182,196,197,94,163,148,166,233,210,257,222
5,0x8d2a0,229,261,292,293,324,325,257,1028,277,204,262,275,260,293,210,957
6,0x8d2c0,514,0,0,0,0,0,292,293,598,0,0,0,0,0,288,290
7,0x8d2e0,325,1028,8270,2306,5,4,117,118,288,949,11237,2701,6,3,143,101
8,0x8d300,150,182,213,214,105,104,85,86,149,254,248,238,125,135,107,77
9,0x8d320,118,150,181,182,213,214,53,54,91,143,167,161,290,282,51,64
10,0x8d340,86,118,149,150,181,182,196,197,87,159,156,138,165,203,180,223
11,0x8d360,229,261,292,293,324,325,257,1028,305,264,261,410,350,263,201,844
12,0x8d380,514,0,0,0,0,0,292,293,595,0,0,0,0,0,369,300
13,0x8d3a0,325,256,516,5712,513,416,449,256,257,256,721,6248,709,545,340,312
14,0x8d3c0,4686,5,4,21,22,53,150,181,5591,5,4,24,18,55,157,248
15,0x8d3e0,213,105,104,5,4,21,118,149,281,97,112,4,5,28,111,174
16,0x8d400,181,213,214,105,104,5,86,117,207,181,267,116,131,5,65,112
17,0x8d420,149,181,182,213,214,105,229,260,114,245,240,275,203,83,302,355
18,0x8d440,292,324,325,356,357,388,514,0,235,345,258,443,445,323,544,0
20,0x8d480,516,258,416,416,384,385,3668,1028,571,238,548,426,341,424,4491,905
21,0x8d4a0,142,144,173,174,175,176,239,240,135,201,203,180,190,146,214,233
22,0x8d4c0,142,144,173,174,175,176,239,240,161,130,155,139,203,158,320,314
23,0x8d4e0,142,144,173,174,175,176,239,240,113,130,205,155,146,239,268,254
24,0x8d500,302,304,333,334,335,336,399,400,381,388,291,272,345,345,420,490
25,0x8d520,256,8263,258,416,416,384,1028,3640,304,11483,210,421,404,503,937,3180
26,0x8d540,141,143,144,173,174,175,238,239,147,146,134,158,235,182,312,265
27,0x8d560,141,143,144,173,174,175,238,239,110,200,186,239,235,228,204,255
28,0x8d580,141,143,144,173,174,175,238,239,125,145,113,172,242,161,300,250
29,0x8d5a0,301,303,304,333,334,335,398,399,309,416,425,370,406,285,375,550
30,0x8d5c0,3,516,9279,513,416,416,256,1028,3,569,11471,404,470,448,334,876
31,0x8d5e0,2306,4,21,22,53,54,181,182,3170,3,18,25,63,49,150,242
32,0x8d600,214,104,5,4,21,22,149,150,195,118,6,4,24,24,202,132
33,0x8d620,182,214,105,104,5,4,117,118,221,194,106,123,5,4,145,94
34,0x8d640,150,182,213,214,105,104,260,261,157,255,298,171,93,96,353,345
