index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
0,0x8d200,397,399,400,5,256,516,416,416,328,430,433,7,209,462,475,462
1,0x8d220,417,1028,1088,2306,5,4,117,118,525,1137,1333,2881,6,5,106,136
2,0x8d240,150,182,213,214,105,104,85,86,123,233,222,274,126,124,75,79
3,0x8d260,118,150,181,182,213,214,53,54,164,203,230,255,231,171,51,60
4,0x8d280,86,118,149,150,181,182,196,197,81,124,197,181,204,139,238,194
5,0x8d2a0,229,261,292,293,324,325,257,1028,235,263,330,315,268,351,318,1172
6,0x8d2c0,514,0,0,0,0,0,292,293,550,0,0,0,0,0,393,269
7,0x8d2e0,325,1028,8270,2306,5,4,117,118,332,1390,8778,2506,4,4,98,92
8,0x8d300,150,182,213,214,105,104,85,86,181,241,174,247,111,111,76,114
9,0x8d320,118,150,181,182,213,214,53,54,137,157,191,246,296,236,59,64
10,0x8d340,86,118,149,150,181,182,196,197,82,150,160,159,240,188,185,182
11,0x8d360,229,261,292,293,324,325,257,1028,177,307,332,307,353,347,347,945
12,0x8d380,514,0,0,0,0,0,292,293,548,0,0,0,0,0,316,377
13,0x8d3a0,325,256,516,5712,513,416,449,256,414,285,691,7371,490,560,365,307
14,0x8d3c0,4686,5,4,21,22,53,150,181,5906,5,4,29,30,69,159,143
15,0x8d3e0,213,105,104,5,4,21,118,149,197,113,85,6,4,22,90,112
16,0x8d400,181,213,214,105,104,5,86,117,204,289,172,133,95,6,107,160
17,0x8d420,149,181,182,213,214,105,229,260,176,211,155,203,242,131,313,278
18,0x8d440,292,324,325,356,357,388,514,0,356,271,291,403,490,512,554,0
20,0x8d480,516,258,416,416,384,385,3668,1028,415,306,565,524,516,365,3733,1311
21,0x8d4a0,142,144,173,174,175,176,239,240,154,126,131,143,232,138,233,235
22,0x8d4c0,142,144,173,174,175,176,239,240,178,110,187,168,166,169,198,328
23,0x8d4e0,142,144,173,174,175,176,239,240,159,183,147,189,181,170,272,286
24,0x8d500,302,304,333,334,335,336,399,400,240,307,292,451,261,371,517,417
25,0x8d520,256,8263,258,416,416,384,1028,3640,318,7210,313,549,347,420,1296,3953
26,0x8d540,141,143,144,173,174,175,238,239,193,122,187,174,179,178,191,227
27,0x8d560,141,143,144,173,174,175,238,239,137,132,155,217,178,184,229,254
28,0x8d580,141,143,144,173,174,175,238,239,117,181,183,222,226,158,326,316
29,0x8d5a0,301,303,304,333,334,335,398,399,352,308,383,434,396,461,390,340
30,0x8d5c0,3,516,9279,513,416,416,256,1028,3,579,10206,421,506,462,287,914
31,0x8d5e0,2306,4,21,22,53,54,181,182,2171,4,23,18,49,74,156,217
32,0x8d600,214,104,5,4,21,22,149,150,266,127,4,5,23,20,193,141
33,0x8d620,182,214,105,104,5,4,117,118,174,197,83,106,7,5,119,90
34,0x8d640,150,182,213,214,105,104,260,261,122,139,177,256,118,141,254,328
35,0x8d660,293,325,356,357,388,389,0,0,335,382,409,482,371,346,0,0
37,0x8d6a0,15369,416,416,384,385,416,1028,141,16149,577,550,459,504,496,1388,141
38,0x8d6c0,143,173,174,175,176,205,240,141,195,170,214,181,135,246,225,194
39,0x8d6e0,143,173,174,175,176,205,240,141,182,144,217,168,235,226,233,157
40,0x8d700,143,173,174,175,176,205,240,301,174,142,201,145,146,201,281,354
41,0x8d720,303,333,334,335,336,365,400,2,233,375,328,335,304,374,357,2
42,0x8d740,516,258,416,416,384,385,15880,1028,569,304,565,497,387,353,13434,787
43,0x8d760,142,144,173,174,175,176,239,240,132,153,159,166,239,200,310,266
44,0x8d780,142,144,173,174,175,176,239,240,167,198,188,160,203,218,229,283
45,0x8d7a0,142,144,173,174,175,176,239,240,108,200,183,240,209,231,323,321
46,0x8d7c0,302,304,333,334,335,336,399,400,305,421,456,301,432,327,351,393
47,0x8d7e0,256,15909,258,416,416,384,1028,16926,298,17607,273,525,469,335,1191,14386
48,0x8d800,5,21,22,53,54,85,182,213,7,29,28,69,65,108,212,171
49,0x8d820,105,5,4,21,22,53,150,181,104,6,3,26,31,40,134,236
50,0x8d840,213,105,104,5,4,21,118,149,240,118,143,5,6,23,138,127
51,0x8d860,181,213,214,105,104,164,261,292,196,172,262,102,96,127,296,368
52,0x8d880,324,356,357,388,389,420,0,0,277,335,393,381,538,367,0,0
54,0x8d8c0,513,448,417,449,416,448,5,4,634,339,477,477,426,572,7,6
55,0x8d8e0,22,54,85,86,117,118,105,104,31,46,92,75,129,101,139,113
56,0x8d900,4,22,53,54,85,86,213,214,5,26,40,54,84,77,181,245
57,0x8d920,104,4,21,22,53,54,181,182,87,6,22,29,65,54,208,213
58,0x8d940,214,104,164,165,196,197,324,325,209,139,136,179,253,235,339,367
59,0x8d960,357,389,420,421,257,1028,0,0,287,489,339,451,245,1274,0,0
61,0x8d9a0,384,416,416,384,385,256,22,53,344,400,449,371,516,312,29,54
62,0x8d9c0,85,117,118,149,150,181,4,21,74,149,105,178,146,228,4,27
63,0x8d9e0,53,85,86,117,118,149,104,5,53,72,106,138,98,138,134,5
64,0x8da00,21,53,54,85,86,117,214,105,27,55,46,98,78,162,239,87
65,0x8da20,164,196,197,228,229,260,357,388,154,205,199,174,278,309,346,462
66,0x8da40,420,257,1028,14414,514,0,0,0,567,345,1337,19737,609,0,0,0
68,0x8da80,448,449,256,1028,16960,2306,85,86,495,398,251,992,22894,2815,64,96
69,0x8daa0,118,150,181,182,213,214,53,54,108,145,212,186,267,227,70,52
70,0x8dac0,86,118,149,150,181,182,21,22,67,105,123,196,167,139,19,23
71,0x8dae0,54,86,117,118,149,150,164,165,50,100,94,142,164,114,133,159
72,0x8db00,197,229,260,261,292,293,420,453,176,241,297,225,278,328,509,540
73,0x8db20,1028,514,0,0,0,0,0,0,1145,422,0,0,0,0,0,0
