index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
0,0x8d200,397,399,400,5,256,516,416,416,415,534,413,5,327,573,505,345
1,0x8d220,417,1028,1088,2306,5,4,117,118,534,1029,1261,3066,7,3,161,96
2,0x8d240,150,182,213,214,105,104,85,86,179,157,287,245,107,125,92,69
3,0x8d260,118,150,181,182,213,214,53,54,162,143,209,152,285,234,42,66
4,0x8d280,86,118,149,150,181,182,196,197,111,90,116,187,166,191,175,152
5,0x8d2a0,229,261,292,293,324,325,257,1028,235,281,396,363,415,438,325,1126
6,0x8d2c0,514,0,0,0,0,0,292,293,526,0,0,0,0,0,395,408
7,0x8d2e0,325,1028,8270,2306,5,4,117,118,261,1416,10010,2896,5,5,123,124
8,0x8d300,150,182,213,214,105,104,85,86,162,190,218,283,101,115,83,71
9,0x8d320,118,150,181,182,213,214,53,54,128,185,205,240,224,213,47,57
10,0x8d340,86,118,149,150,181,182,196,197,95,156,162,181,229,228,273,266
11,0x8d360,229,261,292,293,324,325,257,1028,245,350,239,301,332,320,243,950
12,0x8d380,514,0,0,0,0,0,292,293,400,0,0,0,0,0,267,269
13,0x8d3a0,325,256,516,5712,513,416,449,256,335,238,537,6015,392,337,568,209
14,0x8d3c0,4686,5,4,21,22,53,150,181,5941,6,4,21,27,51,208,237
15,0x8d3e0,213,105,104,5,4,21,118,149,274,124,141,6,5,21,128,202
16,0x8d400,181,213,214,105,104,5,86,117,157,296,216,83,87,5,65,155
17,0x8d420,149,181,182,213,214,105,229,260,207,194,163,204,244,138,235,345
18,0x8d440,292,324,325,356,357,388,514,0,285,295,400,292,302,404,586,0
20,0x8d480,516,258,416,416,384,385,3668,1028,526,255,350,554,420,457,3266,881
21,0x8d4a0,142,144,173,174,175,176,239,240,177,138,152,216,173,220,197,257
22,0x8d4c0,142,144,173,174,175,176,239,240,140,164,214,206,143,181,253,332
23,0x8d4e0,142,144,173,174,175,176,239,240,122,179,216,170,171,158,199,268
