index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
0,0x8d200,397,399,400,5,256,516,416,416,424,556,364,4,280,446,399,533
1,0x8d220,417,1028,1088,2306,5,4,117,118,499,791,1018,1765,6,4,102,143
2,0x8d240,150,182,213,214,105,104,85,86,120,189,267,232,100,91,90,66
3,0x8d260,118,150,181,182,213,214,53,54,119,154,236,235,171,267,46,75
4,0x8d280,86,118,149,150,181,182,196,197,66,140,142,183,159,207,169,190
5,0x8d2a0,229,261,292,293,324,325,257,1028,186,360,268,270,393,333,336,1324
6,0x8d2c0,514,0,0,0,0,0,292,293,489,0,0,0,0,0,387,282
7,0x8d2e0,325,1028,8270,2306,5,4,117,118,383,1422,7682,3189,4,5,133,151
8,0x8d300,150,182,213,214,105,104,85,86,143,176,298,191,110,120,78,78
9,0x8d320,118,150,181,182,213,214,53,54,154,198,189,224,243,275,45,43
10,0x8d340,86,118,149,150,181,182,196,197,114,162,151,204,242,193,165,154
11,0x8d360,229,261,292,293,324,325,257,1028,312,230,408,305,314,321,358,959
12,0x8d380,514,0,0,0,0,0,292,293,646,0,0,0,0,0,276,331
13,0x8d3a0,325,256,516,5712,513,416,449,256,278,247,462,5007,573,353,371,311
14,0x8d3c0,4686,5,4,21,22,53,150,181,6143,6,3,18,30,71,199,205
15,0x8d3e0,213,105,104,5,4,21,118,149,296,128,132,7,5,28,126,141
16,0x8d400,181,213,214,105,104,5,86,117,187,222,205,109,132,4,92,103
17,0x8d420,149,181,182,213,214,105,229,260,138,210,200,234,177,131,234,280
18,0x8d440,292,324,325,356,357,388,514,0,296,408,448,342,414,415,521,0
20,0x8d480,516,258,416,416,384,385,3668,1028,547,237,401,471,514,346,3399,1078
21,0x8d4a0,142,144,173,174,175,176,239,240,175,139,203,133,222,152,232,279
22,0x8d4c0,142,144,173,174,175,176,239,240,164,138,164,176,131,162,204,207
23,0x8d4e0,142,144,173,174,175,176,239,240,118,130,174,168,224,182,220,188
24,0x8d500,302,304,333,334,335,336,399,400,343,238,450,252,379,413,346,319
25,0x8d520,256,8263,258,416,416,384,1028,3640,304,8923,326,530,378,475,1138,4422
26,0x8d540,141,143,144,173,174,175,238,239,130,183,190,195,235,225,291,216
27,0x8d560,141,143,144,173,174,175,238,239,123,131,158,212,230,149,309,209
28,0x8d580,141,143,144,173,174,175,238,239,168,169,116,199,241,232,232,259
29,0x8d5a0,301,303,304,333,334,335,398,399,374,311,239,465,380,346,556,333
30,0x8d5c0,3,516,9279,513,416,416,256,1028,3,611,8209,400,520,529,264,1062
31,0x8d5e0,2306,4,21,22,53,54,181,182,2917,3,27,17,47,49,168,162
32,0x8d600,214,104,5,4,21,22,149,150,293,110,5,5,21,19,144,182
33,0x8d620,182,214,105,104,5,4,117,118,230,239,91,140,7,5,92,156
34,0x8d640,150,182,213,214,105,104,260,261,134,208,170,246,138,85,212,230
35,0x8d660,293,325,356,357,388,389,0,0,356,442,309,322,364,494,0,0
37,0x8d6a0,15369,416,416,384,385,416,1028,141,19840,379,432,381,307,337,890,113
38,0x8d6c0,143,173,174,175,176,205,240,141,136,216,183,175,135,235,198,131
39,0x8d6e0,143,173,174,175,176,205,240,141,174,188,197,173,170,230,316,169
40,0x8d700,143,173,174,175,176,205,240,301,190,213,145,193,150,239,302,358
41,0x8d720,303,333,334,335,336,365,400,2,410,439,264,435,283,432,332,3
42,0x8d740,516,258,416,416,384,385,15880,1028,499,352,532,480,333,461,13771,819
43,0x8d760,142,144,173,174,175,176,239,240,112,127,204,186,183,244,225,247
44,0x8d780,142,144,173,174,175,176,239,240,167,153,146,151,135,223,318,209
45,0x8d7a0,142,144,173,174,175,176,239,240,167,110,228,232,158,221,207,212
46,0x8d7c0,302,304,333,334,335,336,399,400,338,279,413,442,304,270,504,374
