index,offset,hp_old,atk_old,def_old,agi_old,men_old,res_old,exp_old,silver_old,hp_new,atk_new,def_new,agi_new,men_new,res_new,exp_new,silver_new
0,0x8d200,397,399,400,5,256,516,416,416,329,379,548,6,251,455,422,562
1,0x8d220,417,1028,1088,2306,5,4,117,118,477,1321,858,2229,5,5,148,127
2,0x8d240,150,182,213,214,105,104,85,86,182,157,295,205,134,127,69,101
3,0x8d260,118,150,181,182,213,214,53,54,98,170,243,197,250,295,54,68
4,0x8d280,86,118,149,150,181,182,196,197,86,145,160,126,236,184,149,149
5,0x8d2a0,229,261,292,293,324,325,257,1028,234,324,230,393,361,412,301,974
6,0x8d2c0,514,0,0,0,0,0,292,293,397,0,0,0,0,0,285,238
7,0x8d2e0,325,1028,8270,2306,5,4,117,118,399,1327,7851,1779,5,4,159,134
8,0x8d300,150,182,213,214,105,104,85,86,177,192,165,186,114,108,101,89
9,0x8d320,118,150,181,182,213,214,53,54,139,123,202,171,259,286,69,53
10,0x8d340,86,118,149,150,181,182,196,197,67,139,178,208,210,142,244,178
11,0x8d360,229,261,292,293,324,325,257,1028,294,288,312,338,395,345,352,839
12,0x8d380,514,0,0,0,0,0,292,293,703,0,0,0,0,0,344,338
13,0x8d3a0,325,256,516,5712,513,416,449,256,322,290,717,7033,681,409,403,306
14,0x8d3c0,4686,5,4,21,22,53,150,181,5571,5,5,23,31,59,168,177
15,0x8d3e0,213,105,104,5,4,21,118,149,179,83,123,5,4,20,107,129
16,0x8d400,181,213,214,105,104,5,86,117,193,220,297,141,122,6,101,109
17,0x8d420,149,181,182,213,214,105,229,260,194,252,194,161,280,98,315,253
18,0x8d440,292,324,325,356,357,388,514,0,395,438,364,422,451,368,569,0
20,0x8d480,516,258,416,416,384,385,3668,1028,562,319,557,332,424,395,3907,1384
21,0x8d4a0,142,144,173,174,175,176,239,240,109,177,148,177,142,167,262,239
22,0x8d4c0,142,144,173,174,175,176,239,240,111,174,151,190,197,188,327,203
23,0x8d4e0,142,144,173,174,175,176,239,240,117,173,149,177,233,156,233,233
24,0x8d500,302,304,333,334,335,336,399,400,414,236,455,288,461,441,509,319
25,0x8d520,256,8263,258,416,416,384,1028,3640,260,10472,229,407,337,495,803,3106
26,0x8d540,141,143,144,173,174,175,238,239,152,128,185,207,172,205,333,268
27,0x8d560,141,143,144,173,174,175,238,239,174,116,175,138,212,188,203,285
28,0x8d580,141,143,144,173,174,175,238,239,162,158,191,165,131,163,304,200
29,0x8d5a0,301,303,304,333,334,335,398,399,291,303,280,421,341,445,479,544
30,0x8d5c0,3,516,9279,513,416,416,256,1028,4,553,9386,447,523,333,317,1255
31,0x8d5e0,2306,4,21,22,53,54,181,182,2343,5,18,25,66,59,138,220
32,0x8d600,214,104,5,4,21,22,149,150,283,132,7,4,29,22,157,144
33,0x8d620,182,214,105,104,5,4,117,118,249,167,117,141,5,3,98,122
34,0x8d640,150,182,213,214,105,104,260,261,207,198,210,182,82,89,320,253
35,0x8d660,293,325,356,357,388,389,0,0,402,427,318,455,434,459,0,0
37,0x8d6a0,15369,416,416,384,385,416,1028,141,20584,341,398,449,527,512,1212,132
38,0x8d6c0,143,173,174,175,176,205,240,141,137,195,213,214,230,204,235,171
39,0x8d6e0,143,173,174,175,176,205,240,141,145,154,160,153,149,263,210,136
40,0x8d700,143,173,174,175,176,205,240,301,174,139,159,172,244,167,244,288
41,0x8d720,303,333,334,335,336,365,400,2,274,429,336,373,458,463,485,3
42,0x8d740,516,258,416,416,384,385,15880,1028,662,286,375,430,478,390,15960,1307
43,0x8d760,142,144,173,174,175,176,239,240,183,128,142,214,134,241,236,264
44,0x8d780,142,144,173,174,175,176,239,240,164,201,168,193,170,221,245,221
45,0x8d7a0,142,144,173,174,175,176,239,240,127,135,183,177,208,142,312,253
46,0x8d7c0,302,304,333,334,335,336,399,400,327,256,365,380,317,427,472,537
47,0x8d7e0,256,15909,258,416,416,384,1028,16926,301,15218,258,477,493,367,1365,19140
48,0x8d800,5,21,22,53,54,85,182,213,5,25,19,53,65,88,144,177
49,0x8d820,105,5,4,21,22,53,150,181,104,6,4,24,17,62,172,201
50,0x8d840,213,105,104,5,4,21,118,149,203,100,108,7,5,21,165,177
51,0x8d860,181,213,214,105,104,164,261,292,139,229,219,101,81,204,362,385
52,0x8d880,324,356,357,388,389,420,0,0,272,486,372,527,460,458,0,0
54,0x8d8c0,513,448,417,449,416,448,5,4,496,614,373,387,533,559,7,6
55,0x8d8e0,22,54,85,86,117,118,105,104,29,62,118,82,149,133,120,95
56,0x8d900,4,22,53,54,85,86,213,214,4,27,66,50,71,120,188,194
57,0x8d920,104,4,21,22,53,54,181,182,134,3,19,20,44,55,150,185
58,0x8d940,214,104,164,165,196,197,324,325,218,144,128,125,243,162,352,424
59,0x8d960,357,389,420,421,257,1028,0,0,433,426,568,520,253,1352,0,0
61,0x8d9a0,384,416,416,384,385,256,22,53,444,370,580,485,421,211,22,59
62,0x8d9c0,85,117,118,149,150,181,4,21,104,134,103,140,199,139,4,21
63,0x8d9e0,53,85,86,117,118,149,104,5,66,83,67,119,111,118,131,6
64,0x8da00,21,53,54,85,86,117,214,105,18,69,51,102,70,158,245,142
65,0x8da20,164,196,197,228,229,260,357,388,124,154,182,304,229,333,427,456
66,0x8da40,420,257,1028,14414,514,0,0,0,419,359,1078,13542,694,0,0,0
68,0x8da80,448,449,256,1028,16960,2306,85,86,521,627,291,1272,18857,2817,109,71
69,0x8daa0,118,150,181,182,213,214,53,54,143,113,142,200,173,272,51,48
70,0x8dac0,86,118,149,150,181,182,21,22,91,131,184,177,147,252,23,18
71,0x8dae0,54,86,117,118,149,150,164,165,58,87,124,111,197,167,224,197
72,0x8db00,197,229,260,261,292,293,420,453,255,311,363,219,331,224,427,412
73,0x8db20,1028,514,0,0,0,0,0,0,1297,444,0,0,0,0,0,0
74,0x8db40,293,325,3,256,516,16981,416,384,265,270,4,271,666,15777,519,404
75,0x8db60,256,16974,2306,5,4,21,118,149,199,15643,2970,7,4,23,112,201
76,0x8db80,181,213,214,5,104,5,86,117,168,187,250,4,99,5,97,90
77,0x8dba0,149,181,182,213,214,5,54,85,132,140,209,234,290,6,60,64
