index,offset,orig_buy,new_buy,orig_sell,new_sell,orig_stat,new_stat,rare,element,flag8,subtype,category
0,0x7fa424,10,7,5,3,6,6,0,0,1,0,161
1,0x7fa430,20,34,10,17,11,13,0,0,1,0,161
2,0x7fa43c,36,36,18,18,16,15,0,0,1,0,33
3,0x7fa448,60,64,30,32,21,27,0,0,1,0,33
4,0x7fa454,100,130,50,65,27,34,0,0,1,0,1
5,0x7fa460,400,268,200,134,44,43,0,16,1,0,1
6,0x7fa46c,180,188,90,94,33,37,0,0,1,0,33
7,0x7fa478,280,425,140,212,38,41,0,0,1,0,33
8,0x7fa484,600,853,300,426,49,44,0,14,1,0,1
9,0x7fa490,640,1105,320,552,50,49,0,0,1,0,32
10,0x7fa49c,900,1372,450,686,55,66,0,0,1,0,33
11,0x7fa4a8,1400,979,700,489,60,69,0,15,1,0,32
12,0x7fa4b4,1500,1117,750,558,61,69,0,0,1,0,1
13,0x7fa4c0,2000,3297,1000,1648,65,70,0,0,1,0,32
14,0x7fa4cc,2100,2836,1050,1418,68,90,0,5,1,0,1
15,0x7fa4d8,2500,2681,1250,1340,70,87,0,6,1,0,32
16,0x7fa4e4,0,0,0,0,75,76,0,0,1,33,1
17,0x7fa4f0,2100,3039,1050,1519,60,65,0,17,1,36,33
18,0x7fa4fc,1200,912,600,456,55,70,0,0,1,0,33
19,0x7fa508,2100,2237,1050,1118,60,49,0,0,1,0,32
20,0x7fa514,4000,2453,2000,1226,50,52,208,0,1,51,1
21,0x7fa520,15000,22085,7500,11042,85,71,0,0,1,34,32
22,0x7fa52c,160,263,80,131,34,38,0,0,1,0,16
23,0x7fa538,260,395,130,197,39,45,0,0,1,0,16
24,0x7fa544,440,418,220,209,44,36,0,16,1,0,16
25,0x7fa550,760,760,380,380,50,43,0,0,1,0,16
26,0x7fa55c,1240,1794,620,897,56,70,0,1,1,0,16
27,0x7fa568,2200,2096,1100,1048,68,56,0,0,1,33,16
28,0x7fa574,1680,2022,840,1011,62,58,0,2,1,0,16
29,0x7fa580,1000,1681,500,840,50,56,0,3,1,0,16
30,0x7fa58c,1000,1360,500,680,52,55,0,0,1,0,16
31,0x7fa598,2500,1618,1250,809,70,63,0,5,1,0,16
32,0x7fa5a4,800,961,400,480,326,326,0,6,97,4,64
33,0x7fa5b0,20,22,10,11,8,9,0,0,1,0,16
34,0x7fa5bc,30,33,15,16,10,12,0,0,1,0,32
35,0x7fa5c8,50,36,25,18,10,11,0,0,1,0,16
36,0x7fa5d4,600,563,300,281,25,30,0,0,1,0,32
37,0x7fa5e0,1200,1968,600,984,28,35,0,0,1,0,16
38,0x7fa5ec,1400,1427,700,713,30,25,0,0,1,0,32
39,0x7fa5f8,2400,3257,1200,1628,33,39,0,1,1,0,32
40,0x7fa604,3000,5191,1500,2595,2602,2602,0,4,65,8,16
41,0x7fa610,400,530,200,265,30,25,0,16,1,0,32
42,0x7fa61c,440,649,220,324,286,286,0,0,97,0,16
43,0x7fa628,100,88,50,44,2576,2576,0,0,113,17,12
44,0x7fa634,120,185,60,92,20,22,0,0,1,0,12
45,0x7fa640,280,326,140,163,28,32,0,0,1,0,12
46,0x7fa64c,160,229,80,114,34,36,0,0,1,0,12
47,0x7fa658,360,610,180,305,43,37,0,0,1,0,12
48,0x7fa664,580,982,290,491,38,44,0,0,1,0,12
49,0x7fa670,860,1128,430,564,2570,2570,0,0,65,8,12
50,0x7fa67c,1640,1684,820,842,5140,5140,0,15,49,15,12
51,0x7fa688,2600,3327,1300,1663,15420,15420,0,15,65,10,12
52,0x7fa694,3000,5195,1500,2597,20481,20481,240,8,65,12,8
53,0x7fa6a0,3000,4354,1500,2177,17921,17921,240,9,65,11,4
54,0x7fa6ac,360,584,180,292,34,34,0,0,1,0,32
55,0x7fa6b8,360,310,180,155,2590,2590,0,0,49,13,16
56,0x7fa6c4,360,498,180,249,2590,2590,0,0,33,0,32
57,0x7fa6d0,400,551,200,275,2600,2600,0,0,81,0,32
58,0x7fa6dc,2800,2928,1400,1464,3895,3895,0,0,65,0,16
59,0x7fa6e8,2800,3903,1400,1951,3895,3895,0,0,81,0,32
60,0x7fa6f4,4200,5187,2100,2593,60,80,0,7,1,0,16
61,0x7fa700,1800,2237,900,1118,60,67,0,4,1,0,32
62,0x7fa70c,6,6,3,3,3,3,0,0,1,0,2
63,0x7fa718,16,11,8,5,5,6,0,0,1,0,12
64,0x7fa724,28,28,14,14,15,16,0,0,1,0,2
65,0x7fa730,198,197,99,98,30,28,0,0,1,0,2
66,0x7fa73c,2980,2406,1490,1203,20,21,224,0,1,3,32
67,0x7fa748,8,9,4,4,3,4,1,0,2,0,255
68,0x7fa754,14,23,7,11,5,6,1,0,2,0,255
69,0x7fa760,20,29,10,14,7,8,1,0,2,0,227
70,0x7fa76c,26,24,13,12,9,11,1,0,2,0,225
71,0x7fa778,48,83,24,41,13,14,1,0,2,0,161
72,0x7fa784,120,73,60,36,1297,1297,1,0,82,22,33
73,0x7fa790,240,380,120,190,21,20,1,0,2,0,33
74,0x7fa79c,480,821,240,410,25,25,1,0,2,0,33
75,0x7fa7a8,960,1600,480,800,2589,2589,1,0,82,24,33
76,0x7fa7b4,1000,1666,500,833,27,30,1,0,2,0,64
77,0x7fa7c0,1200,1644,600,822,33,41,1,0,2,0,32
78,0x7fa7cc,1800,1710,900,855,5157,5157,1,0,82,25,32
79,0x7fa7d8,0,0,0,0,40,44,1,0,2,47,1
80,0x7fa7e4,60,72,30,36,270,270,1,0,82,18,16
81,0x7fa7f0,140,204,70,102,530,530,1,0,82,19,16
82,0x7fa7fc,280,460,140,230,790,790,1,0,82,20,16
83,0x7fa808,560,383,280,191,1050,1050,1,0,82,21,16
