index,offset,orig_buy,new_buy,orig_sell,new_sell,orig_stat,new_stat,rare,element,flag8,subtype,category
0,0x7fa424,10,11,5,5,6,5,0,0,1,0,161
1,0x7fa430,20,31,10,15,11,11,0,0,1,0,161
2,0x7fa43c,36,37,18,18,16,15,0,0,1,0,33
3,0x7fa448,60,75,30,37,21,19,0,0,1,0,33
4,0x7fa454,100,74,50,37,27,28,0,0,1,0,1
5,0x7fa460,400,499,200,249,44,39,0,16,1,0,1
6,0x7fa46c,180,223,90,111,33,33,0,0,1,0,33
7,0x7fa478,280,476,140,238,38,32,0,0,1,0,33
8,0x7fa484,600,1035,300,517,49,50,0,14,1,0,1
9,0x7fa490,640,755,320,377,50,44,0,0,1,0,32
10,0x7fa49c,900,1284,450,642,55,50,0,0,1,0,33
11,0x7fa4a8,1400,1390,700,695,60,49,0,15,1,0,32
12,0x7fa4b4,1500,1486,750,743,61,81,0,0,1,0,1
13,0x7fa4c0,2000,3451,1000,1725,65,79,0,0,1,0,32
14,0x7fa4cc,2100,1268,1050,634,68,90,0,5,1,0,1
15,0x7fa4d8,2500,4003,1250,2001,70,86,0,6,1,0,32
16,0x7fa4e4,0,0,0,0,75,67,0,0,1,33,1
17,0x7fa4f0,2100,1500,1050,750,60,62,0,17,1,36,33
18,0x7fa4fc,1200,1942,600,971,55,61,0,0,1,0,33
19,0x7fa508,2100,3039,1050,1519,60,56,0,0,1,0,32
20,0x7fa514,4000,4809,2000,2404,50,60,208,0,1,51,1
21,0x7fa520,15000,23228,7500,11614,85,106,0,0,1,34,32
22,0x7fa52c,160,139,80,69,34,44,0,0,1,0,16
23,0x7fa538,260,221,130,110,39,48,0,0,1,0,16
24,0x7fa544,440,545,220,272,44,40,0,16,1,0,16
25,0x7fa550,760,970,380,485,50,54,0,0,1,0,16
26,0x7fa55c,1240,2111,620,1055,56,46,0,1,1,0,16
27,0x7fa568,2200,1735,1100,867,68,91,0,0,1,33,16
28,0x7fa574,1680,2616,840,1308,62,55,0,2,1,0,16
29,0x7fa580,1000,863,500,431,50,55,0,3,1,0,16
30,0x7fa58c,1000,781,500,390,52,51,0,0,1,0,16
31,0x7fa598,2500,1642,1250,821,70,83,0,5,1,0,16
32,0x7fa5a4,800,552,400,276,326,326,0,6,97,4,64
33,0x7fa5b0,20,35,10,17,8,10,0,0,1,0,16
34,0x7fa5bc,30,45,15,22,10,12,0,0,1,0,32
35,0x7fa5c8,50,51,25,25,10,12,0,0,1,0,16
36,0x7fa5d4,600,885,300,442,25,27,0,0,1,0,32
37,0x7fa5e0,1200,805,600,402,28,32,0,0,1,0,16
38,0x7fa5ec,1400,1364,700,682,30,34,0,0,1,0,32
39,0x7fa5f8,2400,2601,1200,1300,33,44,0,1,1,0,32
40,0x7fa604,3000,2496,1500,1248,2602,2602,0,4,65,8,16
41,0x7fa610,400,594,200,297,30,36,0,16,1,0,32
42,0x7fa61c,440,546,220,273,286,286,0,0,97,0,16
43,0x7fa628,100,69,50,34,2576,2576,0,0,113,17,12
44,0x7fa634,120,95,60,47,20,27,0,0,1,0,12
45,0x7fa640,280,242,140,121,28,25,0,0,1,0,12
46,0x7fa64c,160,149,80,74,34,37,0,0,1,0,12
47,0x7fa658,360,431,180,215,43,34,0,0,1,0,12
48,0x7fa664,580,350,290,175,38,41,0,0,1,0,12
49,0x7fa670,860,699,430,349,2570,2570,0,0,65,8,12
50,0x7fa67c,1640,2130,820,1065,5140,5140,0,15,49,15,12
51,0x7fa688,2600,3947,1300,1973,15420,15420,0,15,65,10,12
52,0x7fa694,3000,2131,1500,1065,20481,20481,240,8,65,12,8
53,0x7fa6a0,3000,3543,1500,1771,17921,17921,240,9,65,11,4
54,0x7fa6ac,360,384,180,192,34,42,0,0,1,0,32
55,0x7fa6b8,360,611,180,305,2590,2590,0,0,49,13,16
56,0x7fa6c4,360,389,180,194,2590,2590,0,0,33,0,32
57,0x7fa6d0,400,352,200,176,2600,2600,0,0,81,0,32
58,0x7fa6dc,2800,4509,1400,2254,3895,3895,0,0,65,0,16
59,0x7fa6e8,2800,1768,1400,884,3895,3895,0,0,81,0,32
60,0x7fa6f4,4200,4116,2100,2058,60,61,0,7,1,0,16
61,0x7fa700,1800,1448,900,724,60,70,0,4,1,0,32
62,0x7fa70c,6,7,3,3,3,3,0,0,1,0,2
