index,offset,orig_buy,new_buy,orig_sell,new_sell,orig_stat,new_stat,rare,element,flag8,subtype,category
0,0x7fa424,10,7,5,3,6,6,0,0,1,0,161
1,0x7fa430,20,24,10,12,11,14,0,0,1,0,161
2,0x7fa43c,36,26,18,13,16,15,0,0,1,0,33
3,0x7fa448,60,77,30,38,21,23,0,0,1,0,33
4,0x7fa454,100,150,50,75,27,30,0,0,1,0,1
5,0x7fa460,400,576,200,288,44,54,0,16,1,0,1
6,0x7fa46c,180,263,90,131,33,37,0,0,1,0,33
7,0x7fa478,280,245,140,122,38,43,0,0,1,0,33
8,0x7fa484,600,436,300,218,49,61,0,14,1,0,1
9,0x7fa490,640,715,320,357,50,62,0,0,1,0,32
10,0x7fa49c,900,1249,450,624,55,65,0,0,1,0,33
11,0x7fa4a8,1400,1178,700,589,60,56,0,15,1,0,32
12,0x7fa4b4,1500,2590,750,1295,61,80,0,0,1,0,1
13,0x7fa4c0,2000,3052,1000,1526,65,88,0,0,1,0,32
14,0x7fa4cc,2100,2500,1050,1250,68,57,0,5,1,0,1
15,0x7fa4d8,2500,2479,1250,1239,70,77,0,6,1,0,32
16,0x7fa4e4,0,0,0,0,75,72,0,0,1,33,1
17,0x7fa4f0,2100,2365,1050,1182,60,77,0,17,1,36,33
18,0x7fa4fc,1200,1691,600,845,55,61,0,0,1,0,33
19,0x7fa508,2100,1320,1050,660,60,71,0,0,1,0,32
20,0x7fa514,4000,4072,2000,2036,50,52,208,0,1,51,1
21,0x7fa520,15000,15879,7500,7939,85,95,0,0,1,34,32
22,0x7fa52c,160,188,80,94,34,29,0,0,1,0,16
23,0x7fa538,260,307,130,153,39,47,0,0,1,0,16
24,0x7fa544,440,568,220,284,44,47,0,16,1,0,16
25,0x7fa550,760,1257,380,628,50,47,0,0,1,0,16
26,0x7fa55c,1240,1343,620,671,56,73,0,1,1,0,16
27,0x7fa568,2200,2532,1100,1266,68,74,0,0,1,33,16
28,0x7fa574,1680,1057,840,528,62,57,0,2,1,0,16
29,0x7fa580,1000,748,500,374,50,41,0,3,1,0,16
30,0x7fa58c,1000,1410,500,705,52,67,0,0,1,0,16
31,0x7fa598,2500,1795,1250,897,70,80,0,5,1,0,16
32,0x7fa5a4,800,912,400,456,326,326,0,6,97,4,64
33,0x7fa5b0,20,23,10,11,8,7,0,0,1,0,16
34,0x7fa5bc,30,49,15,24,10,11,0,0,1,0,32
35,0x7fa5c8,50,56,25,28,10,11,0,0,1,0,16
36,0x7fa5d4,600,1001,300,500,25,34,0,0,1,0,32
37,0x7fa5e0,1200,1473,600,736,28,31,0,0,1,0,16
38,0x7fa5ec,1400,1918,700,959,30,29,0,0,1,0,32
39,0x7fa5f8,2400,3647,1200,1823,33,36,0,1,1,0,32
40,0x7fa604,3000,3452,1500,1726,2602,2602,0,4,65,8,16
41,0x7fa610,400,647,200,323,30,31,0,16,1,0,32
42,0x7fa61c,440,413,220,206,286,286,0,0,97,0,16
43,0x7fa628,100,91,50,45,2576,2576,0,0,113,17,12
44,0x7fa634,120,77,60,38,20,23,0,0,1,0,12
45,0x7fa640,280,360,140,180,28,29,0,0,1,0,12
46,0x7fa64c,160,192,80,96,34,36,0,0,1,0,12
47,0x7fa658,360,598,180,299,43,41,0,0,1,0,12
48,0x7fa664,580,672,290,336,38,41,0,0,1,0,12
49,0x7fa670,860,1333,430,666,2570,2570,0,0,65,8,12
50,0x7fa67c,1640,2508,820,1254,5140,5140,0,15,49,15,12
51,0x7fa688,2600,3228,1300,1614,15420,15420,0,15,65,10,12
52,0x7fa694,3000,4930,1500,2465,20481,20481,240,8,65,12,8
53,0x7fa6a0,3000,4668,1500,2334,17921,17921,240,9,65,11,4
54,0x7fa6ac,360,347,180,173,34,44,0,0,1,0,32
55,0x7fa6b8,360,257,180,128,2590,2590,0,0,49,13,16
56,0x7fa6c4,360,501,180,250,2590,2590,0,0,33,0,32
57,0x7fa6d0,400,601,200,300,2600,2600,0,0,81,0,32
58,0x7fa6dc,2800,3339,1400,1669,3895,3895,0,0,65,0,16
59,0x7fa6e8,2800,3138,1400,1569,3895,3895,0,0,81,0,32
60,0x7fa6f4,4200,7182,2100,3591,60,80,0,7,1,0,16
61,0x7fa700,1800,2824,900,1412,60,64,0,4,1,0,32
62,0x7fa70c,6,4,3,2,3,3,0,0,1,0,2
63,0x7fa718,16,19,8,9,5,4,0,0,1,0,12
64,0x7fa724,28,41,14,20,15,15,0,0,1,0,2
65,0x7fa730,198,221,99,110,30,24,0,0,1,0,2
66,0x7fa73c,2980,1789,1490,894,20,22,224,0,1,3,32
67,0x7fa748,8,13,4,6,3,3,1,0,2,0,255
68,0x7fa754,14,21,7,10,5,5,1,0,2,0,255
69,0x7fa760,20,26,10,13,7,8,1,0,2,0,227
70,0x7fa76c,26,44,13,22,9,11,1,0,2,0,225
71,0x7fa778,48,64,24,32,13,12,1,0,2,0,161
72,0x7fa784,120,115,60,57,1297,1297,1,0,82,22,33
73,0x7fa790,240,305,120,152,21,26,1,0,2,0,33
74,0x7fa79c,480,812,240,406,25,27,1,0,2,0,33
75,0x7fa7a8,960,1371,480,685,2589,2589,1,0,82,24,33
76,0x7fa7b4,1000,755,500,377,27,25,1,0,2,0,64
77,0x7fa7c0,1200,1531,600,765,33,44,1,0,2,0,32
78,0x7fa7cc,1800,2893,900,1446,5157,5157,1,0,82,25,32
79,0x7fa7d8,0,0,0,0,40,43,1,0,2,47,1
80,0x7fa7e4,60,42,30,21,270,270,1,0,82,18,16
81,0x7fa7f0,140,192,70,96,530,530,1,0,82,19,16
82,0x7fa7fc,280,469,140,234,790,790,1,0,82,20,16
83,0x7fa808,560,841,280,420,1050,1050,1,0,82,21,16
84,0x7fa814,1120,1851,560,925,1566,1566,1,0,82,23,16
85,0x7fa820,1800,1713,900,856,5666,5666,1,0,82,26,16
86,0x7fa82c,40,43,20,21,11,14,1,0,2,0,30
87,0x7fa838,128,153,64,76,15,14,1,0,2,38,30
88,0x7fa844,200,123,100,61,19,16,1,0,2,0,12
89,0x7fa850,360,584,180,292,23,19,1,0,2,0,12
90,0x7fa85c,720,719,360,359,26,26,1,0,2,0,8
91,0x7fa868,680,1010,340,505,27,22,1,0,2,0,4
92,0x7fa874,1240,1472,620,736,31,30,1,0,2,0,4
93,0x7fa880,1700,1614,850,807,36,35,1,0,2,38,4
94,0x7fa88c,1260,932,680,466,39,52,1,0,2,0,8
95,0x7fa898,1600,2012,800,1006,33,41,1,0,2,37,8
96,0x7fa8a4,3000,2331,1500,1165,20481,20481,241,8,82,28,24
97,0x7fa8b0,3000,3593,1500,1796,17921,17921,241,9,82,27,4
98,0x7fa8bc,1340,1472,670,736,30,30,1,0,2,49,33
99,0x7fa8c8,200,258,100,129,2580,2580,1,0,114,0,255
100,0x7fa8d4,60,83,30,41,12,10,1,0,2,0,26
101,0x7fa8e0,2980,3156,1490,1578,2561,2561,225,0,18,2,32
102,0x7fa8ec,1700,1402,850,701,1315,1315,1,0,18,0,32
103,0x7fa8f8,2,3,1,1,2,2,2,0,2,0,163
104,0x7fa904,10,12,5,6,3,4,2,0,2,0,161
105,0x7fa910,36,40,18,20,5,6,2,0,2,0,161
106,0x7fa91c,90,74,45,37,7,8,2,0,2,0,33
107,0x7fa928,180,290,90,145,10,9,2,0,2,0,33
108,0x7fa934,360,435,180,217,13,16,2,0,2,0,33
109,0x7fa940,720,860,360,430,16,21,2,0,2,0,32
110,0x7fa94c,1000,784,500,392,19,24,2,0,2,0,32
111,0x7fa958,0,0,0,0,20,20,2,0,2,0,1
112,0x7fa964,20,22,10,11,4,4,2,0,2,0,229
113,0x7fa970,48,33,24,16,6,6,2,0,2,0,229
114,0x7fa97c,100,100,50,50,8,8,2,0,2,0,4
115,0x7fa988,200,234,100,117,10,12,2,0,2,0,4
116,0x7fa994,380,410,190,205,1292,1292,2,0,66,6,4
117,0x7fa9a0,760,865,380,432,2574,2574,2,0,66,8,4
118,0x7fa9ac,1100,1072,550,536,3856,3856,2,0,66,9,4
119,0x7fa9b8,6,7,3,3,1,1,2,0,2,0,90
120,0x7fa9c4,22,33,11,16,4,5,2,0,2,0,90
121,0x7fa9d0,66,102,33,51,7,9,2,0,2,0,26
122,0x7fa9dc,120,104,60,52,9,12,2,0,2,0,24
123,0x7fa9e8,240,386,120,193,11,13,2,0,2,0,16
124,0x7fa9f4,380,406,190,203,12,15,2,0,2,0,16
125,0x7faa00,780,1230,390,615,14,16,2,0,2,0,16
126,0x7faa0c,800,1364,400,682,15,15,2,0,2,0,8
127,0x7faa18,900,702,450,351,19,21,2,0,2,0,64
128,0x7faa24,1140,1434,570,717,17,19,2,0,2,0,16
129,0x7faa30,1200,871,600,435,18,21,2,0,2,0,8
130,0x7faa3c,1200,1487,600,743,1,1,242,0,2,49,24
131,0x7faa48,1200,1016,600,508,1,1,242,0,2,49,4
132,0x7faa54,520,472,260,236,1293,1293,2,0,18,0,26
133,0x7faa60,1140,1413,570,706,785,785,2,0,82,0,1
134,0x7faa6c,2980,2136,1490,1068,1281,1281,226,0,18,1,32
135,0x7faa78,2,2,1,1,1,1,3,0,2,0,26
136,0x7faa84,2,2,1,1,2,2,3,0,2,0,229
137,0x7faa90,16,24,8,12,3,4,3,0,2,0,26
138,0x7faa9c,26,21,13,10,5,6,3,0,2,0,161
139,0x7faaa8,136,161,68,80,9,9,3,0,2,0,33
140,0x7faab4,260,406,130,203,12,12,3,0,2,0,33
141,0x7faac0,540,519,270,259,15,14,3,0,2,0,32
142,0x7faacc,800,538,400,269,18,18,3,0,2,0,32
143,0x7faad8,0,0,0,0,20,26,3,0,2,0,1
144,0x7faae4,2,3,1,1,1,1,3,0,2,0,255
145,0x7faaf0,24,15,12,7,4,3,3,0,2,0,4
146,0x7faafc,140,88,70,44,1287,1287,3,0,66,6,4
147,0x7fab08,280,208,140,104,1290,1290,3,0,114,16,4
148,0x7fab14,560,778,280,389,12,13,3,0,2,0,4
149,0x7fab20,760,1274,380,637,15,15,3,0,2,0,4
150,0x7fab2c,40,60,20,30,6,7,3,0,2,0,16
151,0x7fab38,160,216,80,108,9,10,3,0,2,0,16
152,0x7fab44,300,499,150,249,12,12,3,0,2,0,16
153,0x7fab50,690,585,345,292,16,17,3,0,2,0,16
154,0x7fab5c,180,311,90,155,522,522,3,0,66,5,8
155,0x7fab68,340,547,170,273,1037,1037,3,0,66,0,8
156,0x7fab74,720,1000,360,500,1553,1553,3,0,66,7,8
157,0x7fab80,1200,1909,600,954,1,1,243,0,2,0,24
158,0x7fab8c,1200,1995,600,997,1,1,243,0,2,0,4
159,0x7fab98,840,1419,420,709,3843,3843,3,0,50,40,26
160,0x7faba4,700,707,350,353,1294,1294,3,0,66,41,26
161,0x7fabb0,18,26,6,13,4,4,3,0,2,0,128
162,0x7fabbc,2980,1869,1490,934,1281,1281,227,0,18,1,32
163,0x7fabc8,1200,1680,600,840,10,10,4,0,1,2,255
164,0x7fabd4,1200,2042,600,1021,10,12,4,0,4,8,255
165,0x7fabe0,1000,741,500,370,0,0,4,0,0,33,255
166,0x7fabec,1200,1780,600,890,10,10,4,0,3,13,255
167,0x7fabf8,1500,2458,750,1229,0,0,4,0,0,21,255
168,0x7fac04,1800,2202,900,1101,0,0,4,0,0,23,255
169,0x7fac10,1000,994,500,497,0,0,4,0,0,57,255
170,0x7fac1c,3000,3735,1500,1867,0,0,4,0,0,45,255
171,0x7fac28,1000,1430,500,715,0,0,4,0,0,42,255
172,0x7fac34,1000,729,500,364,0,0,4,0,0,43,255
173,0x7fac40,3500,4591,1750,2295,3855,3855,4,0,82,32,255
174,0x7fac4c,3000,2208,1500,1104,0,0,4,0,0,50,255
175,0x7fac58,1200,893,600,446,10,10,4,0,7,39,255
176,0x7fac64,3000,4035,1500,2017,15,17,4,0,3,14,255
177,0x7fac70,3000,1899,1500,949,1,1,4,0,6,0,255
178,0x7fac7c,3000,3028,1500,1514,0,0,4,0,0,0,255
179,0x7fac88,1200,1250,600,625,10,9,4,0,2,4,255
180,0x7fac94,1200,1301,600,650,10,9,4,0,5,24,255
181,0x7faca0,1400,1042,700,521,0,0,4,0,0,48,255
182,0x7facac,0,0,0,0,0,0,84,0,0,0,0
183,0x7facb8,3000,3673,1500,1836,0,0,4,0,0,23,255
184,0x7facc4,3000,4082,1500,2041,0,0,4,10,0,0,255
185,0x7facd0,4000,6699,2000,3349,20,24,4,0,3,0,255
186,0x7facdc,3000,3169,2500,1584,15,14,4,0,7,0,255
187,0x7face8,2500,1925,1250,962,0,0,4,11,0,0,255
188,0x7facf4,3000,1881,1500,940,0,0,4,0,0,29,255
189,0x7fad00,3000,2755,1500,1377,0,0,4,0,0,30,255
190,0x7fad0c,0,0,0,0,0,0,4,0,0,0,12
191,0x7fad18,8000,9205,4000,4602,520,520,4,0,99,31,255
192,0x7fad24,2500,2258,1250,1129,0,0,4,0,0,35,229
193,0x7fad30,1200,1154,600,577,0,0,4,14,0,0,255
194,0x7fad3c,1200,2023,600,1011,0,0,4,16,0,0,255
195,0x7fad48,1200,1539,600,769,0,0,4,15,0,0,255
196,0x7fad54,1200,1879,600,939,0,0,4,17,0,0,255
197,0x7fad60,3000,3708,1500,1854,0,0,4,4,0,0,255
198,0x7fad6c,3000,4043,1500,2021,0,0,4,0,0,38,255
199,0x7fad78,6000,10233,3000,5116,0,0,4,0,0,53,255
