index,offset,orig_buy,new_buy,orig_sell,new_sell,orig_stat,new_stat,rare,element,flag8,subtype,category
0,0x7fa424,10,9,5,4,6,6,0,0,1,0,161
1,0x7fa430,20,20,10,10,11,10,0,0,1,0,161
2,0x7fa43c,36,36,18,18,16,19,0,0,1,0,33
3,0x7fa448,60,100,30,50,21,27,0,0,1,0,33
4,0x7fa454,100,132,50,66,27,27,0,0,1,0,1
5,0x7fa460,400,373,200,186,44,59,0,16,1,0,1
6,0x7fa46c,180,300,90,150,33,39,0,0,1,0,33
7,0x7fa478,280,454,140,227,38,33,0,0,1,0,33
8,0x7fa484,600,871,300,435,49,64,0,14,1,0,1
9,0x7fa490,640,385,320,192,50,58,0,0,1,0,32
10,0x7fa49c,900,890,450,445,55,62,0,0,1,0,33
11,0x7fa4a8,1400,1013,700,506,60,70,0,15,1,0,32
12,0x7fa4b4,1500,1262,750,631,61,66,0,0,1,0,1
13,0x7fa4c0,2000,3073,1000,1536,65,81,0,0,1,0,32
14,0x7fa4cc,2100,2677,1050,1338,68,56,0,5,1,0,1
15,0x7fa4d8,2500,3253,1250,1626,70,78,0,6,1,0,32
16,0x7fa4e4,0,0,0,0,75,63,0,0,1,33,1
17,0x7fa4f0,2100,2580,1050,1290,60,57,0,17,1,36,33
18,0x7fa4fc,1200,1789,600,894,55,59,0,0,1,0,33
19,0x7fa508,2100,2584,1050,1292,60,54,0,0,1,0,32
20,0x7fa514,4000,4420,2000,2210,50,46,208,0,1,51,1
21,0x7fa520,15000,18737,7500,9368,85,72,0,0,1,34,32
22,0x7fa52c,160,129,80,64,34,45,0,0,1,0,16
23,0x7fa538,260,379,130,189,39,43,0,0,1,0,16
24,0x7fa544,440,712,220,356,44,58,0,16,1,0,16
25,0x7fa550,760,724,380,362,50,67,0,0,1,0,16
26,0x7fa55c,1240,2158,620,1079,56,49,0,1,1,0,16
27,0x7fa568,2200,3430,1100,1715,68,56,0,0,1,33,16
28,0x7fa574,1680,2894,840,1447,62,70,0,2,1,0,16
29,0x7fa580,1000,904,500,452,50,47,0,3,1,0,16
30,0x7fa58c,1000,612,500,306,52,62,0,0,1,0,16
31,0x7fa598,2500,3810,1250,1905,70,81,0,5,1,0,16
32,0x7fa5a4,800,835,400,417,326,326,0,6,97,4,64
33,0x7fa5b0,20,27,10,13,8,9,0,0,1,0,16
34,0x7fa5bc,30,32,15,16,10,10,0,0,1,0,32
35,0x7fa5c8,50,50,25,25,10,12,0,0,1,0,16
36,0x7fa5d4,600,793,300,396,25,25,0,0,1,0,32
37,0x7fa5e0,1200,1467,600,733,28,30,0,0,1,0,16
38,0x7fa5ec,1400,1823,700,911,30,25,0,0,1,0,32
